ID,标签,问题,答案
0,0,想问一下贵校有开设专科吗？是否专本连读,没有专科
1,0,贵州文科考生，位次4579，有希望被贵校录取吗？,生你好！欢迎报考广东外语外贸大学！建议把握好“冲稳保”的基础上，在志愿表靠前的位置填报广外；同时也建议服从专业调剂。
2,0,请问贵校在什么情况下会被退档？为了不被退档该怎么做？,你好！为更好地保护考生的利益，学校决定对平行志愿批次下服从调剂、体检合格且符合有关录取规定的出档考生不退档。
3,0,请问翻译专业在贵校的可选辅修的专业之内吗？,目前，学校已开设英语、商务英语、国际经济与贸易、会计学、金融学、日语、法学、外交学、软件工程、应用心理学辅修专业，深受学生欢迎。
4,0,请问贵校的投档是按1：1还是1：1.2来投档的？,按考试院的规定要求。
5,0,我分数571，历史类，服从专业调剂，可以报考贵校吗，可被录取吗?会不会被退档,考生你好！欢迎报考广东外语外贸大学！建议把握好“冲稳保”的基础上，在志愿表靠前的位置填报广外；如果选考科目符合要求，可同时填报多个我校的院校专业组，以提高被我校录取的几率。同时也建议服从专业调剂。
6,0,你好！我是今年的广东考生，请问贵校今年英语类专业的录取规则是什么？是分数优先还是要看学科分数？,你好！普通类专业分档时，根据各省（区、市）投档规则出档后，实行“分数优先”的录取原则。不设置专业级差。对考生投档总分有排位的省（区、市），根据考生投档总分排位情况从高到低排序录取。先安排投档总分排位高的考生的第一专业志愿，若该专业额满，再依次查看该生的后续专业志愿；以此...[详细]
7,0,请问贵校的法语，西语，葡语今年在湖北招生吗？,你好！请查看我校2021年外省分专业招生计划表
8,0,请问贵校转专业的条件和限制是什么？,你好！为调动学生学习的主动性与积极性，学校允许符合条件的本科生转专业。转专业在第二学期和第四学期进行。转出条件和名额不设限制，转入程序皆含笔试和面试。从2019-2020年的转专业数据来看，成功率达到70%
9,0,请问贵校修双学位的条件和限制是什么,你好！主辅修制是我校多元化本科教育模式的重要组成部分，是培养多规格、复合型人才的重要途径。学有余力的学生以主修专业为依托，经批准，在校期间可辅修其他专业的课程，毕业时符合相关条件，可获得辅修专业证书或辅修学位。目前，学校已开设英语、商务英语、国际经济与贸易、会计学、金融...[详细]
