ID,标签,问题,答案
0,0,平行志愿提档后是否退档？,文理平行志愿，出档考生，体检合格服从调剂，不退档
1,0,天津考生647分，市排名4777，能否进入贵校工商管理专业或法学专业？,往年录取详见，请结合排位参考。https://zs.szu.edu.cn/query/history_dtl?p=03单个专业计划较少，不能保证的。建议服从调剂
2,0,您好，广东历史类排名7400，报考贵校日语专业有希望吗,往年录取详见，请结合排位参考。https://zs.szu.edu.cn/query/history_dtl?p=29。
3,0,广东物理类考生排位17916有机会上深圳大学的电子信息类专业吗,往年录取详见，请结合排位参考。https://zs.szu.edu.cn/query/history_dtl?p=29。可以冲一下。也可以填报其他的专业志愿组。欢迎报考
4,0,你好，我是北京考生，599分，8100名左右，报考贵校02物理专业组，有希望吗？如果入档，出分数低其它合格会退档吗？,文理平行志愿，出档考生，体检合格服从调剂，不退档。往年录取详见，请结合排位参考。https://zs.szu.edu.cn/query/history_dtl?p=01，可以冲一下，建议服从调剂
5,0,你好！浙江省考生如果投档进贵校的音乐表演专业，浙江省是没有专业调剂的，投档后会不会有被退档的风险?,不会的，平行志愿按专业出档，如符合乐种要求，出档既录取
6,0,"广东物理类考生，601分，排名22633，报考物理学(师范),能稳上吗?",往年录取详见，请结合排位参考。https://zs.szu.edu.cn/query/history_dtl?p=29。不建议组内只报一个专业，有可能被退档。
7,0,请问如果调剂时专业组内有只招有本专业志愿的，且最低分数线只达到这个专业，但未报此专业是否退档？,我校无此种要求的专业。
8,0,您好！我是新疆单列类（选考民族语文）的考生。分数为328分，超了一本线24分，全疆排名994。能报考贵校吗？报考后有希望考上吗？,我校少数民族预科班（双语班）招收单列类2考生，往年录取情况见https://zs.szu.edu.cn/query/history_dtl?p=15
9,0,您好！我是广东物理类考生，高考成绩617，省排13678。请问有什么专业推荐？,往年录取详见，请结合排位参考。https://zs.szu.edu.cn/query/history_dtl?p=29。可以冲一下热门专业组，如计算机相关、经济学院相关、金融科技等。院系介绍详见https://zs.szu.edu.cn/page?m=yxzy&c=00060001。建议专业志愿有梯度，服从调剂，欢迎报考深圳大学。
10,0,请问贵校录取控制分数线是多少,往年录取详见，请结合排位参考。https://zs.szu.edu.cn/query/history_dtl?p=29。
11,0,请问贵州理科生4510位，报考贵校有希望没有？,往年录取详见，请结合排位参考。https://zs.szu.edu.cn/query/history_dtl?p=22。基本在平均排位附近，很有机会进档，建议专业志愿有梯度，服从调剂，欢迎报考深圳大学。
12,0,你好，请问广东物理省排23048，有希望进深圳大学吗？入校能转专业吗？,往年录取详见，请结合排位参考。https://zs.szu.edu.cn/query/history_dtl?p=29。可以冲一下非热门专业，服从调剂。
13,0,您好！我是西藏文史类考生今年高分数线整40分被录取的希望大吗谢谢老师辛苦了,首年招生，暂无参考数据。平行志愿的话，可以冲一下，服从调剂，欢迎报考
14,0,是先投档到院校再投档到专业组还是直接投档到专业组，会不会出现过了深圳大学的最低录取分数线却没有达到填报的专业组的最低分数线，然后被录取再调剂至其他专业组的情况？,按专业组投档。调剂在组内调剂
15,0,你好，我是广东考生省排两万五千名左右，如果选择冷门专业是否有机会被录取？录取之后如果想转专业有无可能？,https://zs.szu.edu.cn/query/history_dtl?p=29，机会比较小。除护理学，入校可以转专业
16,0,西藏少数民族考314分，离重本差三分能上深圳大学吗,你好，我校在一本招生
